Review,Clean_Reviews,Predicted_Sentiment
"A VERY GREEDY GAME, first of all they said they won't make another end game and then 4 years later they did ONLY TO SPLIT THE REWARD FROM 1ST ENDGAME INTO HALF AND ADD ANOTHER HALF TO 2ND ENDGAME, which mean more work for same reward. And when there's aniversary they deduct the primos u can aquired from before patch and post patch, so it used to be 80 pulls perpatch, and they deduct it to 60 and add 100 in anniversary, daiwei cry about genshin change is crocodile tear, NOTHING HAS CHANGE",a very greedy game first of all they said they wont make another end game and then 4 years later they did only to split the reward from 1st endgame into half and add another half to 2nd endgame which mean more work for same reward and when theres aniversary they deduct the primos u can aquired from before patch and post patch so it used to be 80 pulls perpatch and they deduct it to 60 and add 100 in anniversary daiwei cry about genshin change is crocodile tear nothing has change,1
I love this game,i love this game,1
great game,great game,1
Give a free 5 star,give a free 5 star,1
First anniversary reward trash. Trash game.,first anniversary reward trash trash game,1
"If Genshin Impact were such a good game why are the players spamming in other games, apparently they don't have anything to do in their game, so therefore Genshin Impact is a bad game then since their players have a lot of time on their hands because they have nothing to do in their game",if genshin impact were such a good game why are the players spamming in other games apparently they dont have anything to do in their game so therefore genshin impact is a bad game then since their players have a lot of time on their hands because they have nothing to do in their game,0
Thank you for giving me my xilonen for the last time 😍,thank you for giving me my xilonen for the last time,1
"boring since the natlan released, awful character designs, boring story, bland gameplay, gooner game, not as good as before. i hope this game improves and listens to its players. the storyline is only good at first, but when it gets latest it sucks. theres also nothing happening. even tho ur quests are many, its still boring. good thing i moved to honkai star rail",boring since the natlan released awful character designs boring story bland gameplay gooner game not as good as before i hope this game improves and listens to its players the storyline is only good at first but when it gets latest it sucks theres also nothing happening even tho ur quests are many its still boring good thing i moved to honkai star rail,0
This game should guarantee us our desired specific 4star characters after few pulls. As for now there is about 16% of getting our desired single 4 star character from the limited character banner and it's 32% if we lost our 50/50. But there is no guarantee of getting the 4 star character that we want. This is so wrong. Stupid money hungry company.,this game should guarantee us our desired specific 4star characters after few pulls as for now there is about 16 of getting our desired single 4 star character from the limited character banner and its 32 if we lost our 5050 but there is no guarantee of getting the 4 star character that we want this is so wrong stupid money hungry company,0
it's not a good game,its not a good game,1
